Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,abbreviation,alternative label,alternative LaTeX symbol,alternative symbol,commonly has unit,has aggregate function,has base,has base quantity,has base unit,has context,has denominator,has derived quantity,has derived unit,has dimension,has exponent,has factor,has numerator,has numerical value,has off-set,has phenomenon,has point,has prefix,has quantity,has scale,has SI amount of substance dimension exponent,has SI electric current dimension exponent,has SI length dimension exponent,has SI luminous intensity dimension exponent,has SI mass dimension exponent,has SI thermodynamic temperature dimension exponent,has SI time dimension exponent,has term 1,has term 2,has unit,has value,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/isPartOf,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://purl.org/ontology/bibo/authorList,http://purl.org/ontology/bibo/chapter,http://purl.org/ontology/bibo/degree,http://purl.org/ontology/bibo/edition,http://purl.org/ontology/bibo/isbn10,http://purl.org/ontology/bibo/isbn13,http://purl.org/ontology/bibo/issuer,http://purl.org/ontology/bibo/pageEnd,http://purl.org/ontology/bibo/pageStart,http://purl.org/ontology/bibo/reproducedIn,http://purl.org/ontology/bibo/shortTitle,http://purl.org/ontology/bibo/uri,http://purl.org/ontology/bibo/volume,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://www.wurvoc.org/vocabularies/WV/illustration,http://www.wurvoc.org/vocabularies/WV/logo,http://xmlns.com/foaf/0.1/based_near,http://xmlns.com/foaf/0.1/name,LaTeX command,LaTeX symbol,longcomment,reference,symbol,unofficial abbreviation,unofficial label,uses quantity,uses unit
http://www.ontology-of-units-of-measure.org/resource/om-2/FourierNumberForMassTransferUnit,Fourier number for mass transfer unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FourierNumberForMassTransferUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/StrouhalNumberUnit,Strouhal number unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StrouhalNumberUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/MolarHeatCapacityUnit,molar heat capacity unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MolarHeatCapacityUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/NumberAbscisedLeaves,aantal gevallen bladeren,,Aantal gevallen bladeren.,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/NumberLeaves,,#abscised leaves,,,http://www.ontology-of-units-of-measure.org/resource/om-2/one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NumberAbscisedLeaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/Percentage,percentage,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/percent|http://www.ontology-of-units-of-measure.org/resource/om-2/one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedSecond-Time,prefixed second (time),,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PrefixedSecond-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/Duration,duration,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Time,,,,,http://www.ontology-of-units-of-measure.org/resource/om-2/year-Tropical|http://www.ontology-of-units-of-measure.org/resource/om-2/year-Sidereal|http://www.ontology-of-units-of-measure.org/resource/om-2/year|http://www.ontology-of-units-of-measure.org/resource/om-2/terasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/shake|http://www.ontology-of-units-of-measure.org/resource/om-2/second-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/second-Sidereal|http://www.ontology-of-units-of-measure.org/resource/om-2/picosecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/petasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/nanosecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Sidereal|http://www.ontology-of-units-of-measure.org/resource/om-2/millisecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/microsecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/megasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/kilosecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/hour-Sidereal|http://www.ontology-of-units-of-measure.org/resource/om-2/hour|http://www.ontology-of-units-of-measure.org/resource/om-2/hectosecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/gigayear|http://www.ontology-of-units-of-measure.org/resource/om-2/gigasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/femtosecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/exasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/decisecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/decasecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/day-Sidereal|http://www.ontology-of-units-of-measure.org/resource/om-2/day|http://www.ontology-of-units-of-measure.org/resource/om-2/centisecond-Time|http://www.ontology-of-units-of-measure.org/resource/om-2/attosecond-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyUnit,amount of money unit,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AmountOfMoneyUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedTesla,prefixed tesla,,,FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/PrefixedUnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PrefixedTesla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/GeometricalAlbedo,geometrical albedo,,"Ratio between the brightness of an object as seen from the direction of a hypothetical white, diffusely reflecting sphere of the same size and at the same distance.",FALSE,,,http://www.ontology-of-units-of-measure.org/resource/om-2/Albedo,,physical albedo|astronomical albedo,,,http://www.ontology-of-units-of-measure.org/resource/om-2/one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GeometricalAlbedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,
